ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471325
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471326
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471327
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471328
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471339
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471340
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471341
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471342
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471352
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471351
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471350
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471356
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471357
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471367
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471363
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471364
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471375
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471376
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471377
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471378
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471379
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471380
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471381
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471392
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471393
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471394
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471395
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471396
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471397
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471398
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471403
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471406
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,471415
