ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,DESCRHTM,METAKEYWORDSPROD,MAXPARCELASPROD,XMLPARCELASPROD,CODBARRASPROD,EMBALAVEL,ISPRODUTOGRANDE,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,CODVIDEO,PRODMPN,TITLEPROD,URLPROD,VENDACONJUNTA,METADESCRIPTIONPROD,IDSFILTROITEM
"IDProduto não encontrado","E","Bandeiras de Mesa",3502306,"BMCRH35","Históricas - Cromado (35cm)",0,15,"Pedestal de Mesa Decorativo para 01 Bandeira Histórica.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,21,0,0,0,"","",True,False,"cromadonHistorica_p.jpg","cromadonHistorica_m.jpg","cromadonHistorica_m.jpg","","","3636,3637,3638,3639,3640,3641,3642,3643,3644,3645,3646,3647,68518","","","",3165,0,0,0,"Kit Mini,BMCR35,BMCRP35,BMCRE35,BMCRC35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502374,"BANHIST-CR35","Históricas - Cromado (Banner 35cm)",0,2,"Banner de Mesa Decorativo para 01 Bandeira Histórica.","<span style=""color:#000;"">Banner de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 9x25cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,24,9,0,0,0,"","",True,False,"banHist_cromado_p.jpg","banHist_cromado_m.jpg","banHist_cromado_m.jpg","","","3636,3637,3638,3639,3640,3641,3642,3643,3644,3645,3646,3647,68518","","","",3165,0,0,0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",284837,"PKE-CR","Kit Brasil e Estados - Cromado (25cm)",2,1,"Pedestal de Mesa decorativo para 01 bandeirinha. <b><i>Kit </i>com 28 peças</b> Brasil e Estados.","<span style=""color:#000;"">Pedestal de Mesa decorativo em ABS cromado. <b>Kit </b>com 28 peças sendo:

1. Brasil
2. Acre
3. Alagoas
4. Amapá
5. Amazonas
6. Bahia
7. Brasília
8. Ceará
9. Espírito Santo
10. Goiás
11. Maranhão
12. Mato Grosso
13. Mato Grosso do Sul
14. Minas Gerais
15. Pará
16. Paraíba
17. Paraná
18. Paulista
19. Pernanbuco
20. Piauí
21. Rio de Janeiro
22. Rio Grande do Norte
23. Rio Grande do Sul
24. Rondônia
25. Roraima
26. Santa Catarina
27. Sergipe
28. Tocantins.

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>","",False,0,0,True,0,0,250,0,0,0,"","",False,False,"kitestados_cromado_p.jpg","kitestados_cromado_m.jpg","kitestados_cromado_m.jpg","","","","","","",3165,0,0,0,"Kit Mini,PKH-CR,PKC-CR","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502307,"KEST-CR35","Kit Brasil e Estados - Cromado (35cm)",3,5,"Pedestal de Mesa decorativo para 01 bandeirinha. <b><i>Kit </i>com 28 peças</b> Brasil e Estados.","<span style=""color:#000;"">Pedestal de Mesa decorativo em ABS branco. <b>Kit </b>com 28 peças sendo:

1. Brasil
2. Acre
3. Alagoas
4. Amapá
5. Amazonas
6. Bahia
7. Brasília
8. Ceará
9. Espírito Santo
10. Goiás
11. Maranhão
12. Mato Grosso
13. Mato Grosso do Sul
14. Minas Gerais
15. Pará
16. Paraíba
17. Paraná
18. Paulista
19. Pernanbuco
20. Piauí
21. Rio de Janeiro
22. Rio Grande do Norte
23. Rio Grande do Sul
24. Rondônia
25. Roraima
26. Santa Catarina
27. Sergipe
28. Tocantins.

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>","",False,0,0,True,0,0,619,0,0,0,"","",True,False,"kitest35_cromado_p.jpg","kitest35_cromado_m.jpg","kitest35_cromado_m.jpg","","","","","","",3165,0,0,0,"Kit Mini,KHIST-CR35,KEC-CR35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502378,"KBANEST-CR35","Kit Brasil e Estados - Cromado (Banner 35cm)",4,"Banner de Mesa decorativo para 01 bandeirinha. <b><i>Kit </i>com 28 peças</b> Brasil e Estados.","<span style=""color:#000;"">Banner de Mesa decorativo em ABS branco. <b>Kit </b>com 28 peças sendo:

1. Brasil
2. Acre
3. Alagoas
4. Amapá
5. Amazonas
6. Bahia
7. Brasília
8. Ceará
9. Espírito Santo
10. Goiás
11. Maranhão
12. Mato Grosso
13. Mato Grosso do Sul
14. Minas Gerais
15. Pará
16. Paraíba
17. Paraná
18. Paulista
19. Pernanbuco
20. Piauí
21. Rio de Janeiro
22. Rio Grande do Norte
23. Rio Grande do Sul
24. Rondônia
25. Roraima
26. Santa Catarina
27. Sergipe
28. Tocantins.

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 35cm de altura total e a bandeira tem 9x25cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>","",False,0,0,True,0,0,679,0,0,0,"","",True,False,"banKitest_cromado_p.jpg","banKitest_cromado_m.jpg","banKitest_cromado_m.jpg","","","","","","",3165,0,0,0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",284841,"PKH-CR","Kit Brasil e Históricas - Cromado (25cm)",1,4,"Pedestal de Mesa decorativo para 01 bandeirinhas. <b><i>Kit </i>com 13 peças</b>, Brasil/ Históricas.","<span style=""color:#000;"">Pedestal de Mesa decorativo em ABS cromado. <b>Kit </b>com 13 peças sendo:

1. Brasil  Bandeira 
2. Ordem de Cristo
3. Bandeira Real
4. Bandeira D.João III
5. Bandeira Domínio Espanhol
6. Bandeira Restauração
7. Bandeira Principado do Brasil
8. Bandeira D. Pedro II de Portugal
9. Bandeira Real do Século XVII
10. Bandeira Reino Unido
11. Bandeira do Regime Constitucional
12. Bandeira Imperial do Brasil
13. Provisória da República

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>

","",False,0,0,True,0,0,110,0,0,0,"","",False,False,"kithistp.JPG","kithistm.JPG","kithistm.JPG","","","","","","",3165,0,0,0,"Kit Mini,PKE-CR,PKC-CR","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502309,"KHIST-CR35","Kit Brasil e Históricas - Cromado (35cm)",2,5,"Pedestal de Mesa decorativo para 01 bandeirinhas. <b><i>Kit </i>com 13 peças</b>, Brasil/ Históricas.","<span style=""color:#000;"">Pedestal de Mesa decorativo em ABS branco. <b>Kit </b>com 13 peças sendo:

1. Brasil  Bandeira 
2. Ordem de Cristo
3. Bandeira Real
4. Bandeira D.João III
5. Bandeira Domínio Espanhol
6. Bandeira Restauração
7. Bandeira Principado do Brasil
8. Bandeira D. Pedro II de Portugal
9. Bandeira Real do Século XVII
10. Bandeira Reino Unido
11. Bandeira do Regime Constitucional
12. Bandeira Imperial do Brasil
13. Provisória da República

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>","",False,0,0,True,0,0,329,0,0,0,"","",True,False,"kithist35_cromado_p.jpg","kithist35_cromado_m.jpg","kithist35_cromado_m.jpg","","","","","","",3165,0,0,0,"Kit Mini,KEST-CR35,KEC-CR35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502381,"KBANHIST-CR35","Kit Brasil e Históricas - Cromado (Banner 35cm)",3,"Banner de Mesa decorativo para 01 bandeirinhas. <b><i>Kit </i>com 13 peças</b>, Brasil/ Históricas.","<span style=""color:#000;"">Banner de Mesa decorativo em ABS branco. <b>Kit </b>com 13 peças sendo:

1. Brasil  Bandeira 
2. Ordem de Cristo
3. Bandeira Real
4. Bandeira D.João III
5. Bandeira Domínio Espanhol
6. Bandeira Restauração
7. Bandeira Principado do Brasil
8. Bandeira D. Pedro II de Portugal
9. Bandeira Real do Século XVII
10. Bandeira Reino Unido
11. Bandeira do Regime Constitucional
12. Bandeira Imperial do Brasil
13. Provisória da República

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 35cm de altura total e a bandeira tem 9x25cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>","",False,0,0,True,0,0,359,0,0,0,"","",True,False,"banKithist_cromado_p.jpg","banKithist_cromado_m.jpg","banKithist_cromado_m.jpg","","","","","","",3165,0,0,0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",284838,"PKC-CR","Kit Brasil, Estados e Capitais - Cromado (25cm)",4,2,"Pedestal de Mesa decorativo para 01 bandeirinha. <b><i>Kit </i>com 54 peças</b>, Brasil, Estados e Capitais.","<span style=""color:#000;"">Pedestal de Mesa decorativo em ABS cromado. <b>Kit </b>com 54 peças sendo: 

1. Brasil
1. Brasília  
26. Estados 
26. Capitais 

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>
","",False,0,0,True,0,0,490,0,0,0,"","",False,False,"kitbecp.jpg","kitcapcrom.JPG","kitcapcrom.JPG","","","","","","",3165,0,0,0,"Kit Mini,PKE-CR,PKH-CR","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502312,"KEC-CR35","Kit Brasil, Estados e Capitais - Cromado (35cm)",5,5,"Pedestal de Mesa decorativo para 01 bandeirinha. <b><i>Kit </i>com 54 peças</b>, Brasil, Estados e Capitais.","<span style=""color:#000;"">Pedestal de Mesa decorativo em ABS branco. <b>Kit </b>com 54 peças sendo: 

1. Brasil
1. Brasília  
26. Estados 
26. Capitais 

• Ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros.
• Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
• Para modelos personalizados de bandeira, consulte-nos.
• Bandeira com uma face.
&nbsp</span>","",False,0,0,True,0,0,979,0,0,0,"","",True,False,"kitestcap35_cromado_p.jpg","kitestcap35_cromado_m.jpg","kitestcap35_cromado_m.jpg","","","","","","",3165,0,0,0,"Kit Mini,KEST-CR35,KHIST-CR35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
